date,category,sales_amount
2022-01-01,Breakfast,1074.77
2022-01-01,Lunch,1037.13
2022-01-01,Dinner,1310.84
2022-01-01,Beverages,741.91
2022-01-02,Breakfast,742.32
2022-01-02,Lunch,820.53
2022-01-02,Dinner,930.21
2022-01-02,Beverages,721.43
2022-01-03,Breakfast,857.55
2022-01-03,Lunch,1148.41
2022-01-03,Dinner,934.37
2022-01-03,Beverages,402.04
2022-01-04,Breakfast,997.93
2022-01-04,Lunch,823.17
2022-01-04,Dinner,1176.03
2022-01-04,Beverages,665.35
2022-01-05,Breakfast,815.12
2022-01-05,Lunch,1488.21
2022-01-05,Dinner,879.09
2022-01-05,Beverages,715.4
2022-01-06,Breakfast,1452.22
2022-01-06,Lunch,851.48
2022-01-06,Dinner,1072.28
2022-01-06,Beverages,1001.33
2022-01-07,Breakfast,1256.28
2022-01-07,Lunch,1249.1
2022-01-07,Dinner,1183.35
2022-01-07,Beverages,411.33
2022-01-08,Breakfast,1054.58
2022-01-08,Lunch,1115.08
2022-01-08,Dinner,971.7
2022-01-08,Beverages,970.29
2022-01-09,Breakfast,911.72
2022-01-09,Lunch,1306.3
2022-01-09,Dinner,867.43
2022-01-09,Beverages,500.89
2022-01-10,Breakfast,1138.09
2022-01-10,Lunch,1158.46
2022-01-10,Dinner,958.73
2022-01-10,Beverages,846.17
2022-01-11,Breakfast,922.49
2022-01-11,Lunch,1336.45
2022-01-11,Dinner,944.08
2022-01-11,Beverages,838.98
2022-01-12,Breakfast,736.34
2022-01-12,Lunch,790.3
2022-01-12,Dinner,1092.85
2022-01-12,Beverages,488.32
2022-01-13,Breakfast,852.82
2022-01-13,Lunch,1167.38
2022-01-13,Dinner,1148.28
2022-01-13,Beverages,696.75
2022-01-14,Breakfast,911.18
2022-01-14,Lunch,750.24
2022-01-14,Dinner,1182.61
2022-01-14,Beverages,676.09
2022-01-15,Breakfast,677.21
2022-01-15,Lunch,995.39
2022-01-15,Dinner,1113.21
2022-01-15,Beverages,502.2
2022-01-16,Breakfast,1082.29
2022-01-16,Lunch,926.69
2022-01-16,Dinner,997.01
2022-01-16,Beverages,1045.02
2022-01-17,Breakfast,848.25
2022-01-17,Lunch,1071.19
2022-01-17,Dinner,1012.1
2022-01-17,Beverages,817.16
2022-01-18,Breakfast,1114.53
2022-01-18,Lunch,1073.79
2022-01-18,Dinner,822.62
2022-01-18,Beverages,711.1
2022-01-19,Breakfast,1135.23
2022-01-19,Lunch,1067.77
2022-01-19,Dinner,1009.17
2022-01-19,Beverages,641.36
2022-01-20,Breakfast,1215.0
2022-01-20,Lunch,1079.31
2022-01-20,Dinner,857.46
2022-01-20,Beverages,759.99
2022-01-21,Breakfast,948.06
2022-01-21,Lunch,922.78
2022-01-21,Dinner,1162.69
2022-01-21,Beverages,841.37
2022-01-22,Breakfast,1140.78
2022-01-22,Lunch,655.57
2022-01-22,Dinner,1081.82
2022-01-22,Beverages,267.59
2022-01-23,Breakfast,1014.16
2022-01-23,Lunch,1108.36
2022-01-23,Dinner,1350.0
2022-01-23,Beverages,806.42
2022-01-24,Breakfast,925.15
2022-01-24,Lunch,986.74
2022-01-24,Dinner,651.12
2022-01-24,Beverages,764.27
2022-01-25,Breakfast,1124.42
2022-01-25,Lunch,792.98
2022-01-25,Dinner,1022.55
2022-01-25,Beverages,765.13
2022-01-26,Breakfast,1091.41
2022-01-26,Lunch,1125.24
2022-01-26,Dinner,779.59
2022-01-26,Beverages,1195.68
2022-01-27,Breakfast,846.0
2022-01-27,Lunch,975.26
2022-01-27,Dinner,1051.29
2022-01-27,Beverages,693.15
2022-01-28,Breakfast,1147.04
2022-01-28,Lunch,806.82
2022-01-28,Dinner,1343.38
2022-01-28,Beverages,774.95
2022-01-29,Breakfast,1014.01
2022-01-29,Lunch,1216.2
2022-01-29,Dinner,538.42
2022-01-29,Beverages,724.56
2022-01-30,Breakfast,1073.4
2022-01-30,Lunch,1043.25
2022-01-30,Dinner,1219.64
2022-01-30,Beverages,859.21
2022-01-31,Breakfast,1019.61
2022-01-31,Lunch,758.92
2022-01-31,Dinner,1058.1
2022-01-31,Beverages,685.19
2022-02-01,Breakfast,861.92
2022-02-01,Lunch,1055.59
