booking_id,booking_date,checkin_date,room_type,num_guests,lead_time,canceled,no_show
BKG16333,2024-12-08,2022-01-02,Standard,2,-1071,0,0
BKG17400,2024-12-28,2022-01-02,Standard,2,-1091,0,0
BKG12364,2024-12-16,2022-01-02,Suite,2,-1079,1,0
BKG12913,2024-12-29,2022-01-02,Suite,2,-1092,1,0
BKG11130,2024-12-12,2022-01-02,Suite,2,-1075,0,0
BKG18931,2024-12-04,2022-01-02,Standard,2,-1067,0,0
BKG18814,2024-12-10,2022-01-02,Standard,1,-1073,0,0
BKG14607,2024-12-25,2022-01-02,Suite,3,-1088,0,0
BKG12123,2024-12-14,2022-01-02,Deluxe,2,-1077,0,0
BKG15405,2024-12-15,2022-01-02,Suite,1,-1078,0,0
BKG17804,2024-12-12,2022-01-02,Deluxe,2,-1075,0,0
BKG12367,2022-01-01,2022-01-02,Suite,2,1,0,0
BKG13583,2024-12-11,2022-01-02,Suite,3,-1074,0,0
BKG13062,2024-12-31,2022-01-02,Standard,2,-1094,0,0
BKG16165,2024-12-22,2022-01-02,Suite,3,-1085,0,1
BKG16448,2024-12-07,2022-01-02,Deluxe,3,-1070,0,0
BKG12187,2024-12-23,2022-01-02,Suite,3,-1086,0,0
BKG15151,2024-12-19,2022-01-02,Suite,1,-1082,0,0
BKG17998,2024-12-10,2022-01-02,Deluxe,1,-1073,1,0
BKG15208,2024-12-10,2022-01-02,Deluxe,3,-1073,0,0
BKG17724,2024-12-15,2022-01-02,Suite,3,-1078,0,0
BKG14020,2024-12-06,2022-01-02,Suite,3,-1069,0,0
BKG17509,2024-12-11,2022-01-02,Suite,3,-1074,0,0
BKG14433,2024-12-11,2022-01-02,Deluxe,2,-1074,0,0
BKG15692,2024-12-26,2022-01-02,Suite,2,-1089,0,0
BKG15026,2024-12-12,2022-01-02,Suite,1,-1075,0,0
BKG18376,2022-01-01,2022-01-02,Deluxe,3,1,0,0
BKG13609,2024-12-11,2022-01-02,Suite,1,-1074,1,0
BKG19699,2024-12-31,2022-01-02,Standard,1,-1094,0,0
BKG12264,2024-12-23,2022-01-02,Deluxe,2,-1086,0,0
BKG15829,2024-12-17,2022-01-02,Deluxe,1,-1080,0,0
BKG19172,2024-12-12,2022-01-02,Suite,3,-1075,0,0
