ds,yhat,yhat_lower,yhat_upper
2022-01-01,3731.78356745072,3238.7171315769065,4184.447309393781
2022-01-02,3682.437954044707,3161.705182963534,4173.202259592065
2022-01-03,3695.0803529193113,3186.3548428613653,4180.8780498759525
2022-01-04,3707.3725342330013,3208.8589874582235,4193.094203599957
2022-01-05,3685.8857585605656,3197.87156048828,4166.726482351366
2022-01-06,3680.9540639468446,3179.8893160686207,4158.350673429121
2022-01-07,3685.16424405378,3189.7680796671502,4229.780117439317
2022-01-08,3787.0899111260815,3314.1300141956563,4307.439002513367
2022-01-09,3738.286466603798,3251.3764143329036,4228.075742125169
2022-01-10,3750.6505353415696,3282.8393030382704,4244.097591103324
2022-01-11,3761.8498080264085,3278.805889747844,4235.407506638029
2022-01-12,3738.477481928306,3221.473383748621,4234.354456655665
2022-01-13,3730.90497263863,3243.83289711107,4238.37500213365
2022-01-14,3731.770984336054,3244.0523446317943,4265.449218745643
2022-01-15,3829.7143571884535,3352.1844988420507,4317.481188441073
2022-01-16,3776.367546421447,3306.464312011685,4241.310529429158
2022-01-17,3783.71432669019,3322.072979807382,4293.759629567019
2022-01-18,3789.5177089296203,3272.1735467018057,4286.931988864272
2022-01-19,3760.472306244371,3280.6116173402106,4233.547399664049
2022-01-20,3747.054870533039,3225.428880752643,4241.523728112634
2022-01-21,3742.0111378525894,3288.4090567792537,4237.137754885968
2022-01-22,3834.0864517460245,3338.154604514066,4305.699259964091
2022-01-23,3775.017068667921,3280.0681967042005,4253.513647167128
2022-01-24,3776.885786534686,3293.8545514960183,4252.533868662936
2022-01-25,3777.547927713377,3282.865152868919,4266.532884175362
2022-01-26,3743.7819528992895,3249.3618471693035,4201.5105801199725
2022-01-27,3726.138462414331,3253.107966063387,4208.184481355276
2022-01-28,3717.425751971792,3236.004948073693,4209.132181426994
2022-01-29,3806.4394148941797,3292.821570068432,4287.670450236447
2022-01-30,3744.952910996785,3275.6917929651286,4236.750837443449
2022-01-31,3745.072752377893,3268.500550708674,4229.500105635358
2022-02-01,3744.66433975962,3264.4732264912154,4225.835533534624
2022-02-02,3710.5027214082556,3211.844904368719,4181.719670711109
2022-02-03,3693.122020303213,3201.8899565602114,4159.716889533309
2022-02-04,3685.301679742348,3199.309833710183,4180.882214738539
2022-02-05,3775.796997087482,3309.827145057858,4278.072158548527
2022-02-06,3716.3308386848503,3278.46906157867,4233.113511944094
2022-02-07,3718.9501560284616,3222.632966643168,4164.79072993748
2022-02-08,3721.4533011297544,3259.6309397948776,4226.183546946973
2022-02-09,3690.542378395156,3230.7213484328295,4172.5188869935955
2022-02-10,3676.6743402466623,3198.741014767577,4182.395471590126
2022-02-11,3672.5489387808316,3188.0138407913796,4150.121746409403
2022-02-12,3766.8409655701603,3238.9335002411653,4282.952381136198
2022-02-13,3711.1936365022343,3227.3115135232792,4220.346336636067
2022-02-14,3717.5767066890057,3224.4222307478954,4197.715748862914
2022-02-15,3723.7152834971516,3220.1423006194127,4202.186792451701
2022-02-16,3696.243545269511,3208.3448427413923,4174.531923582768
2022-02-17,3685.5570494417493,3162.9249725978975,4182.420288628748
2022-02-18,3684.3017220769443,3197.274903434305,4164.987176308077
2022-02-19,3781.10694529691,3281.022735370285,4268.2050690140595
2022-02-20,3727.5795884858576,3205.6679329577455,4222.063478476234
2022-02-21,3735.6625619581087,3225.766618017962,4198.328705286937
2022-02-22,3743.063859381086,3253.00576013889,4220.77462327135
2022-02-23,3716.410299194458,3222.812770272923,4198.894737492963
2022-02-24,3706.099655550234,3230.3876181421824,4179.410625964122
2022-02-25,3704.789281452872,3220.625092387665,4224.62515849854
2022-02-26,3801.1286546406395,3300.7581811186765,4291.878859174157
2022-02-27,3746.7527091219263,3259.803756080074,4222.170040335785
2022-02-28,3753.639550548724,3269.503579044154,4238.779285917053
2022-03-01,3759.538543183973,3282.2248292163285,4232.419178013159
2022-03-02,3731.1230015611713,3249.209534974911,4232.550503655518
2022-03-03,3718.8412011545765,3241.229833595358,4211.9859536411095
2022-03-04,3715.40383489479,3226.040391770546,4215.411998927197
2022-03-05,3809.515370149005,3321.5549974012642,4251.601953506247
2022-03-06,3752.866192607774,3244.907871898215,4224.49544380763
