ds,yhat,yhat_lower,yhat_upper
2022-01-01,21296.088002921562,16706.727331384427,25851.891840732842
2022-01-02,21554.701391560335,17096.712662866004,25960.017110303623
2022-01-03,21729.339881265296,17038.036242442682,26365.16899503137
2022-01-04,21482.320963982766,16863.354808395725,26110.798626323896
2022-01-05,21403.65548065556,17016.069572523345,26434.00036034433
2022-01-06,21982.99475404173,17425.59927235465,26698.166608990774
2022-01-07,21499.348305553765,16916.08316958318,25915.883813370223
2022-01-08,21919.78856788381,17452.1647185831,26389.60386936215
2022-01-09,22174.067922214334,17517.756112428717,26691.264488113713
2022-01-10,22326.20502640786,17829.01764221862,26915.451984708343
2022-01-11,22038.57484512125,17334.62046681492,26730.26179800726
2022-01-12,21901.713202719402,17472.515836673087,26785.31902114977
2022-01-13,22406.256880259596,17794.22994370059,26763.87910620826
2022-01-14,21832.64223357764,17318.59220393728,26102.83303123907
2022-01-15,22149.77914994136,17773.166361102987,26694.383605784282
2022-01-16,22289.626389553527,17756.266522133,27009.631203748286
2022-01-17,22318.726289897942,17931.145777692873,26977.33301977286
2022-01-18,21902.234524094307,17316.96765412993,26649.604921951734
2022-01-19,21633.657249984546,17088.589996561906,26321.580503218287
2022-01-20,22006.71838326062,17500.94868838491,26859.892792819002
2022-01-21,21304.981835101436,16932.43943123887,25641.633149916477
2022-01-22,21500.4474974417,17024.141575189988,25920.683711815236
2022-01-23,21528.049038078098,16999.051562174755,26374.52068675914
2022-01-24,21457.113496296355,16866.740905826853,25980.52179910339
2022-01-25,20955.32032604196,16632.562891320995,25379.990493474084
2022-01-26,20618.374070187554,16139.543791149945,25266.61189345528
2022-01-27,20941.81508783465,16444.318852387918,25440.262407558304
2022-01-28,20210.5946600524,15979.349253457409,24625.068909267113
2022-01-29,20397.63449895673,16130.224202890142,24784.965989154618
2022-01-30,20438.299687401453,15767.0174350739,24968.171189212084
2022-01-31,20401.845702540973,15829.716425057317,24767.500708036103
2022-02-01,19955.377512393807,15452.228201015203,24511.687339036296
2022-02-02,19693.534941612714,15240.615098046743,24181.704158716468
2022-02-03,20110.328410815368,15587.605644478826,24877.474530471463
2022-02-04,19488.75073591267,14747.207264899873,23922.974404771303
2022-02-05,19799.384068659718,15161.599254743376,24223.40455992067
2022-02-06,19974.929830488556,15377.150430525176,24399.865176705236
2022-02-07,20081.720585000574,15504.091304811373,24340.943652095764
2022-02-08,19783.750637768542,15397.597809703153,24119.40978965946
